Time	Value				
					
0,001666667	2				
0,003333333	20				
0,005	26				
0,006666667	-22				
0,008333333	-15				
0,01	-9				
0,011666667	-19				
0,013333333	-19				
0,015	-11				
0,016666667					
0,018333333	-7				
0,02	-21				
0,021666667	-20				
0,023333333	-8				
0,025	6				
0,026666667	17				
0,028333333					
0,03	-21				
0,031666667	-26				
0,033333333	-12				
0,035	3				
0,036666667	-3				
0,038333333	-6				
0,04	-2				
0,041666667	-10				
0,043333333	-16				
0,045	-30				
0,046666667	-27				
0,048333333	-11				
0,05	-6				
0,051666667	2				
0,053333333	4				
0,055	-8				
0,056666667	-10				
0,058333333	-3				
0,06	-12				
0,061666667	-8				
0,063333333	-24				
0,065	-33				
0,066666667	-35				
0,068333333	-27				
0,07	-12				
0,071666667	-30				
0,073333333	-30				
0,075	-23				
0,076666667	-41				
0,078333333	-53				
0,08	-53				
0,081666667	-46				
0,083333333	-40				
0,085	-29				
0,086666667	-30				
0,088333333	-49				
0,09	-55				
0,091666667	-38				
0,093333333	-43				
0,095	-36				
0,096666667	-28				
0,098333333	-25				
0,1	-42				
0,101666667	-56				
0,103333333	-50				
0,105	-32				
0,106666667	-28				
0,108333333	-39				
0,11	-61				
0,111666667	-62				
0,113333333	-47				
0,115	-20				
0,116666667	-39				
0,118333333	-52				
0,12	-51				
0,121666667	-45				
0,123333333	-34				
0,125	-25				
0,126666667	-37				
0,128333333	-46				
0,13	-58				
0,131666667	-52				
0,133333333	-25				
0,135	-29				
0,136666667	-22				
0,138333333	-21				
0,14	-32				
0,141666667	-29				
0,143333333	-44				
0,145	-49				
0,146666667	-31				
0,148333333	-37				
0,15	-42				
0,151666667	-42				
0,153333333	-38				
0,155	-47				
0,156666667	-57				
0,158333333	-57				
0,16	-51				
0,161666667	-62				
0,163333333	-54				
0,165	-22				
0,166666667	-26				
0,168333333	-44				
0,17	-38				
0,171666667	-45				
0,173333333	-51				
0,175	-51				
0,176666667	-52				
0,178333333	-53				
0,18	-41				
0,181666667	-33				
0,183333333	-38				
0,185	-33				
0,186666667	-40				
0,188333333	-49				
0,19	-47				
0,191666667	-47				
0,193333333	-46				
0,195	-44				
0,196666667	-37				
0,198333333	-42				
0,2	-54				
0,201666667	-57				
0,203333333	-58				
0,205	-47				
0,206666667	-40				
0,208333333	-51				
0,21	-64				
0,211666667	-51				
0,213333333	-48				
0,215	-74				
0,216666667	-71				
0,218333333	-68				
0,22	-62				
0,221666667	-59				
0,223333333	-60				
0,225	-56				
0,226666667	-63				
0,228333333	-65				
0,23	-71				
0,231666667	-74				
0,233333333	-51				
0,235	-37				
0,236666667	-68				
0,238333333	-85				
0,24	-81				
0,241666667	-80				
0,243333333	-81				
0,245	-74				
0,246666667	-69				
0,248333333	-68				
0,25	-63				
0,251666667	-63				
0,253333333	-79				
0,255	-81				
0,256666667	-83				
0,258333333	-88				
0,26	-71				
0,261666667	-74				
0,263333333	-71				
0,265	-75				
0,266666667	-88				
0,268333333	-83				
0,27	-77				
0,271666667	-85				
0,273333333	-88				
0,275	-81				
0,276666667	-57				
0,278333333	-57				
0,28	-83				
0,281666667	-104				
0,283333333	-114				
0,285	-110				
0,286666667	-90				
0,288333333	-85				
0,29	-83				
0,291666667	-85				
0,293333333	-90				
0,295	-88				
0,296666667	-84				
0,298333333	-76				
0,3	-76				
0,301666667	-84				
0,303333333	-86				
0,305	-77				
0,306666667	-75				
0,308333333	-67				
0,31	-79				
0,311666667	-89				
0,313333333	-94				
0,315	-98				
0,316666667	-93				
0,318333333	-82				
0,32	-67				
0,321666667	-72				
0,323333333	-91				
0,325	-85				
0,326666667	-88				
0,328333333	-72				
0,33	-76				
0,331666667	-65				
0,333333333	-56				
0,335	-75				
0,336666667	-83				
0,338333333	-81				
0,34	-89				
0,341666667	-79				
0,343333333	-83				
0,345	-67				
0,346666667	-71				
0,348333333	-86				
0,35	-98				
0,351666667	-108				
0,353333333	-108				
0,355	-93				
0,356666667	-91				
0,358333333	-82				
0,36	-90				
0,361666667	-100				
0,363333333	-102				
0,365	-92				
0,366666667	-102				
0,368333333	-79				
0,37	-80				
0,371666667	-99				
0,373333333	-110				
0,375	-104				
0,376666667	-114				
0,378333333	-116				
0,38	-104				
0,381666667	-102				
0,383333333	-110				
0,385	-99				
0,386666667	-99				
0,388333333	-101				
0,39	-102				
0,391666667	-98				
0,393333333	-96				
0,395	-89				
0,396666667	-93				
0,398333333	-86				
0,4	-107				
0,401666667	-110				
0,403333333	-101				
0,405	-102				
0,406666667	-90				
0,408333333	-103				
0,41	-115				
0,411666667	-116				
0,413333333	-114				
0,415	-104				
0,416666667	-93				
0,418333333	-117				
0,42	-112				
0,421666667	-117				
0,423333333	-117				
0,425	-101				
0,426666667	-102				
0,428333333	-98				
0,43	-113				
0,431666667	-119				
0,433333333	-88				
0,435	-99				
0,436666667	-100				
0,438333333	-98				
0,44	-110				
0,441666667	-109				
0,443333333	-114				
0,445	-121				
0,446666667	-118				
0,448333333	-117				
0,45	-116				
0,451666667	-104				
0,453333333	-103				
0,455	-135				
0,456666667	-138				
0,458333333	-138				
0,46	-149				
0,461666667	-154				
0,463333333	-135				
0,465	-113				
0,466666667	-117				
0,468333333	-144				
0,47	-157				
0,471666667	-136				
0,473333333	-130				
0,475	-113				
0,476666667	-111				
0,478333333	-115				
0,48	-138				
0,481666667	-132				
0,483333333	-127				
0,485	-141				
0,486666667	-143				
0,488333333	-139				
0,49	-127				
0,491666667	-119				
0,493333333	-119				
0,495	-120				
0,496666667	-120				
0,498333333	-125				
0,5	-119				
0,501666667	-112				
0,503333333	-128				
0,505	-146				
0,506666667	-147				
0,508333333	-141				
0,51	-127				
0,511666667	-130				
0,513333333	-114				
0,515	-119				
0,516666667	-126				
0,518333333	-131				
0,52	-128				
0,521666667	-140				
0,523333333	-143				
0,525	-132				
0,526666667	-135				
0,528333333	-142				
0,53	-136				
0,531666667	-126				
0,533333333	-118				
0,535	-136				
0,536666667	-129				
0,538333333	-139				
0,54	-148				
0,541666667	-153				
0,543333333	-136				
0,545	-122				
0,546666667	-113				
0,548333333	-134				
0,55	-138				
0,551666667	-135				
0,553333333	-127				
0,555	-147				
0,556666667	-152				
0,558333333	-143				
0,56	-128				
0,561666667	-129				
0,563333333	-124				
0,565	-126				
0,566666667	-139				
0,568333333	-119				
0,57	-113				
0,571666667	-120				
0,573333333	-137				
0,575	-141				
0,576666667	-140				
0,578333333	-150				
0,58	-137				
0,581666667	-134				
0,583333333	-135				
0,585	-128				
0,586666667	-133				
0,588333333	-143				
0,59	-145				
0,591666667	-148				
0,593333333	-154				
0,595	-146				
0,596666667	-136				
0,598333333	-124				
0,6	-123				
0,601666667	-136				
0,603333333	-142				
0,605	-143				
0,606666667	-145				
0,608333333	-141				
0,61	-153				
0,611666667	-149				
0,613333333	-141				
0,615	-143				
0,616666667	-139				
0,618333333	-154				
0,62	-158				
0,621666667	-152				
0,623333333	-145				
0,625	-145				
0,626666667	-142				
0,628333333	-137				
0,63	-134				
0,631666667	-126				
0,633333333	-157				
0,635	-178				
0,636666667	-166				
0,638333333	-160				
0,64	-151				
0,641666667	-153				
0,643333333	-163				
0,645	-152				
0,646666667	-149				
0,648333333	-153				
0,65	-158				
0,651666667	-153				
0,653333333	-146				
0,655	-155				
0,656666667	-153				
0,658333333	-143				
0,66	-140				
0,661666667	-153				
0,663333333	-161				
0,665	-151				
0,666666667	-151				
0,668333333	-158				
0,67	-156				
0,671666667	-156				
0,673333333	-154				
0,675	-143				
0,676666667	-139				
0,678333333	-143				
0,68	-147				
0,681666667	-157				
0,683333333	-171				
0,685	-170				
0,686666667	-152				
0,688333333	-144				
0,69	-146				
0,691666667	-146				
0,693333333	-131				
0,695	-127				
0,696666667	-97				
0,698333333	-41				
0,7	79				
0,701666667	348				
0,703333333	849				
0,705	1669				
0,706666667	3283				
0,708333333	7637				
0,71	20309				
0,711666667	45197				
0,713333333	70443				
0,715	84436				
0,716666667	84131				
0,718333333	78108				
0,72	74773				
0,721666667	75035				
0,723333333	75020				
0,725	74432				
0,726666667	76572				
0,728333333	84026				
