,t,Q,TG,DG,MG,G,ME
0,0.0,6.0,0.6184664,0.03971353,0.00014448725,4.4668093e-05,2.1509826e-05
1,1.0,6.0,0.60477793,0.05048076,0.00069015287,0.000103298575,0.01394134
2,2.0,6.0,0.59101284,0.06099022,0.0014542174,0.00017850101,0.027994938
3,3.0,6.0,0.577295,0.0711574,0.0024596285,0.00027608871,0.04216119
4,4.0,6.0,0.5637171,0.08091966,0.003718635,0.00039862655,0.056420267
5,5.0,6.0,0.5503402,0.09023562,0.0052336436,0.00054552965,0.07075332
6,6.0,6.0,0.53719866,0.09908263,0.0069993716,0.00071372837,0.085141644
7,7.0,6.0,0.5243059,0.1074532,0.009004606,0.0008982569,0.09956639
8,8.0,6.0,0.5116614,0.115350604,0.0112340655,0.0010933783,0.114008285
9,9.0,6.0,0.49925673,0.122785866,0.013670115,0.0012930632,0.12844756
10,10.0,6.0,0.4870808,0.12977418,0.016293852,0.0014918409,0.14286399
11,11.0,6.0,0.47512394,0.1363332,0.019086232,0.001685407,0.15723726
12,12.0,6.0,0.46337968,0.14248109,0.022028381,0.0018704869,0.17154703
13,13.0,6.0,0.45184624,0.14823563,0.025102189,0.002045231,0.18577355
14,14.0,6.0,0.4405265,0.15361364,0.028290229,0.0022091083,0.1998975
15,15.0,6.0,0.4294274,0.15863077,0.031576104,0.0023626518,0.2139005
16,16.0,6.0,0.41855928,0.1633016,0.03494454,0.0025072023,0.22776541
17,17.0,6.0,0.40793383,0.1676393,0.03838087,0.002644889,0.24147633
18,18.0,6.0,0.39756402,0.1716565,0.041871756,0.0027780458,0.2550186
19,19.0,6.0,0.38746148,0.17536452,0.04540445,0.002909258,0.26837945
20,20.0,6.0,0.3776368,0.17877473,0.04896739,0.003040962,0.28154734
21,21.0,6.0,0.36809814,0.18189766,0.0525498,0.00317543,0.29451257
22,22.0,6.0,0.3588502,0.18474375,0.056141727,0.003314497,0.30726686
23,23.0,6.0,0.34989518,0.18732321,0.059734188,0.003459651,0.3198034
24,24.0,6.0,0.34123114,0.1896461,0.06331867,0.0036118794,0.33211678
25,25.0,6.0,0.33285362,0.1917223,0.06688749,0.0037718117,0.34420297
26,26.0,6.0,0.3247547,0.19356188,0.070433654,0.003939513,0.35605896
27,27.0,6.0,0.31692463,0.19517455,0.07395057,0.0041150115,0.3676828
28,28.0,6.0,0.30935156,0.19657025,0.07743198,0.004297944,0.37907356
29,29.0,6.0,0.30202234,0.19775844,0.080872126,0.004487861,0.39023077
30,30.0,6.0,0.29492348,0.19874874,0.08426524,0.0046843477,0.401155
31,31.0,6.0,0.28804153,0.19955066,0.087605916,0.004887026,0.41184705
32,32.0,6.0,0.28136367,0.2001733,0.09088847,0.005095916,0.42230824
33,33.0,6.0,0.2748783,0.20062578,0.09410739,0.005311113,0.4325403
34,34.0,6.0,0.26857558,0.20091705,0.09725703,0.0055331774,0.44254494
35,35.0,6.0,0.2624473,0.20105588,0.10033161,0.00576311,0.45232445
36,36.0,6.0,0.25648716,0.20105049,0.103324905,0.0060022734,0.4618811
37,37.0,6.0,0.25069124,0.20090935,0.10623122,0.006252356,0.47121716
38,38.0,6.0,0.2450568,0.2006403,0.109044276,0.0065153465,0.48033527
39,39.0,6.0,0.23958282,0.20025116,0.11175799,0.006793676,0.4892378
40,40.0,6.0,0.23426926,0.19974913,0.11436631,0.007089639,0.4979275
41,41.0,6.0,0.22911687,0.19914144,0.11686335,0.0074057803,0.5064071
42,42.0,6.0,0.22412641,0.19843474,0.11924375,0.007744452,0.51467925
43,43.0,6.0,0.21929833,0.19763538,0.12150209,0.008107953,0.522747
44,44.0,6.0,0.21463247,0.19674943,0.123633936,0.008498119,0.53061295
45,45.0,6.0,0.21012755,0.19578245,0.12563491,0.008916637,0.5382804
46,46.0,6.0,0.20578091,0.1947398,0.12750153,0.00936462,0.54575235
47,47.0,6.0,0.20158882,0.1936264,0.12923095,0.0098428,0.5530322
48,48.0,6.0,0.1975459,0.19244683,0.13082087,0.010351406,0.56012315
49,49.0,6.0,0.19364534,0.19120538,0.1322697,0.010890191,0.56702864
50,50.0,6.0,0.18987936,0.18990612,0.13357663,0.0114584565,0.5737524
51,51.0,6.0,0.18623891,0.18855274,0.13474138,0.012055144,0.58029795
52,52.0,6.0,0.18271449,0.18714897,0.13576436,0.01267869,0.58666915
53,53.0,6.0,0.17929603,0.18569812,0.13664657,0.013327379,0.59287
54,54.0,6.0,0.17597325,0.18420349,0.13738938,0.013999097,0.59890455
55,55.0,6.0,0.17273612,0.18266813,0.13799499,0.014691619,0.60477686
56,56.0,6.0,0.16957527,0.18109527,0.13846585,0.015402498,0.61049116
57,57.0,6.0,0.16648157,0.17948776,0.13880491,0.016129278,0.6160519
58,58.0,6.0,0.1634476,0.17784876,0.13901566,0.016869292,0.6214633
59,59.0,6.0,0.16046616,0.17618102,0.1391017,0.017620001,0.6267302
60,60.0,6.0,0.15753211,0.1744875,0.13906714,0.018378817,0.631857
61,61.0,6.0,0.15464115,0.17277126,0.13891652,0.019143194,0.63684845
62,62.0,6.0,0.1517907,0.17103508,0.13865441,0.019910675,0.6417091
63,63.0,6.0,0.14897937,0.16928184,0.13828573,0.020678889,0.64644396
64,64.0,6.0,0.14620727,0.16751431,0.13781568,0.02144561,0.6510577
65,65.0,6.0,0.14347538,0.16573519,0.13724938,0.022208616,0.6555551
66,66.0,6.0,0.14078622,0.16394702,0.13659233,0.0229659,0.6599411
67,67.0,6.0,0.13814306,0.16215236,0.13584988,0.023715582,0.6642201
68,68.0,6.0,0.13554965,0.16035321,0.13502736,0.02445592,0.66839695
69,69.0,6.0,0.13301048,0.15855163,0.13413016,0.025185298,0.67247605
70,70.0,6.0,0.13052984,0.15674928,0.13316351,0.025902227,0.6764618
71,71.0,6.0,0.12811257,0.15494749,0.13213232,0.026605412,0.68035835
72,72.0,6.0,0.12576278,0.15314728,0.13104157,0.027293622,0.68416965
73,73.0,6.0,0.123484075,0.1513492,0.12989558,0.027965933,0.6878995
74,74.0,6.0,0.12127973,0.1495536,0.12869872,0.028621323,0.6915514
75,75.0,6.0,0.119151786,0.14776045,0.12745494,0.029259052,0.69512844
76,76.0,6.0,0.1171011,0.14596899,0.12616748,0.029878542,0.6986339
77,77.0,6.0,0.11512816,0.14417881,0.12483987,0.030479275,0.70207
78,78.0,6.0,0.113231584,0.1423887,0.12347492,0.031060789,0.70543957
79,79.0,6.0,0.111409515,0.14059778,0.122075446,0.03162279,0.7087444
80,80.0,6.0,0.10965866,0.13880464,0.120643824,0.032165024,0.7119864
81,81.0,6.0,0.107975125,0.1370081,0.11918237,0.03268732,0.7151675
82,82.0,6.0,0.1063541,0.13520727,0.11769345,0.033189595,0.7182888
83,83.0,6.0,0.104790255,0.13340092,0.11617905,0.03367161,0.7213516
84,84.0,6.0,0.10327786,0.13158864,0.114641584,0.03413334,0.72435695
85,85.0,6.0,0.101811096,0.12977004,0.11308325,0.03457465,0.7273057
86,86.0,6.0,0.10038401,0.12794521,0.11150662,0.034995347,0.7301986
87,87.0,6.0,0.098991156,0.12611473,0.10991431,0.035395302,0.73303646
88,88.0,6.0,0.09762722,0.124279454,0.10830913,0.035774235,0.7358196
89,89.0,6.0,0.09628734,0.122440815,0.106694065,0.03613188,0.7385489
90,90.0,6.0,0.094967514,0.12060061,0.10507239,0.036467947,0.7412243
91,91.0,6.0,0.09366412,0.118761,0.103447385,0.036782086,0.7438464
92,92.0,6.0,0.09237459,0.116924524,0.10182259,0.037073914,0.74641556
93,93.0,6.0,0.09109678,0.115094066,0.10020176,0.0373429,0.7489319
94,94.0,6.0,0.08982952,0.11327258,0.09858849,0.037588716,0.75139594
95,95.0,6.0,0.088571995,0.111463085,0.096986376,0.03781094,0.7538078
96,96.0,6.0,0.0873243,0.10966909,0.095399275,0.038009003,0.7561676
97,97.0,6.0,0.086086944,0.107893825,0.093830794,0.038182586,0.7584756
98,98.0,6.0,0.084860966,0.106140554,0.092284404,0.0383313,0.76073205
99,99.0,6.0,0.08364765,0.104412585,0.090763636,0.038454767,0.7629369
100,100.0,6.0,0.08244875,0.10271299,0.089271605,0.038552694,0.7650906
101,101.0,6.0,0.081266165,0.1010447,0.08781137,0.038624823,0.7671932
102,102.0,6.0,0.08010179,0.099410534,0.086385824,0.03867101,0.76924515
103,103.0,6.0,0.07895784,0.09781308,0.08499748,0.038691092,0.7712463
104,104.0,6.0,0.07783635,0.09625457,0.08364873,0.03868506,0.7731972
105,105.0,6.0,0.07673928,0.09473711,0.082341544,0.03865299,0.77509815
106,106.0,6.0,0.07566866,0.09326272,0.0810779,0.03859494,0.7769493
107,107.0,6.0,0.07462612,0.091832854,0.0798593,0.038511105,0.778751
108,108.0,6.0,0.07361346,0.090448774,0.07868694,0.038401876,0.78050387
109,109.0,6.0,0.07263203,0.08911172,0.0775619,0.038267486,0.78220814
110,110.0,6.0,0.07168305,0.08782245,0.076485045,0.03810838,0.78386444
111,111.0,6.0,0.070767686,0.08658168,0.07545692,0.037925087,0.7854731
112,112.0,6.0,0.06988671,0.0853897,0.07447782,0.03771816,0.7870348
113,113.0,6.0,0.06904067,0.084246755,0.073547825,0.037488207,0.7885501
114,114.0,6.0,0.06822999,0.08315273,0.07266687,0.037235934,0.79001975
115,115.0,6.0,0.06745513,0.08210767,0.07183485,0.036962062,0.7914442
116,116.0,6.0,0.066715896,0.08111098,0.071051076,0.036667295,0.79282415
117,117.0,6.0,0.066012174,0.08016224,0.07031506,0.036352605,0.79416066
118,118.0,6.0,0.06534371,0.07926075,0.06962599,0.03601872,0.79545426
119,119.0,6.0,0.06470999,0.07840576,0.06898304,0.035666544,0.7967057
120,120.0,6.0,0.06411067,0.0775964,0.068385206,0.035297066,0.7979162
121,121.0,6.0,0.06354482,0.07683161,0.06783137,0.034911074,0.7990862
122,122.0,6.0,0.063011646,0.07611034,0.06732037,0.034509666,0.80021673
123,123.0,6.0,0.06251027,0.07543137,0.06685085,0.034093652,0.80130875
124,124.0,6.0,0.06203987,0.07479355,0.066421516,0.033664092,0.80236304
125,125.0,6.0,0.06159924,0.07419562,0.066031076,0.033221878,0.8033806
126,126.0,6.0,0.061187312,0.07363622,0.06567799,0.03276792,0.80436254
127,127.0,6.0,0.060803,0.073113985,0.06536086,0.032303203,0.8053097
128,128.0,6.0,0.060445063,0.072627544,0.06507814,0.03182862,0.8062229
129,129.0,6.0,0.060112316,0.072175555,0.06482835,0.03134509,0.8071034
130,130.0,6.0,0.059803613,0.07175655,0.064610004,0.030853558,0.80795205
131,131.0,6.0,0.059517633,0.07136928,0.06442166,0.030354733,0.8087696
132,132.0,6.0,0.05925329,0.07101223,0.06426175,0.029849565,0.8095573
133,133.0,6.0,0.05900927,0.07068398,0.06412878,0.02933879,0.8103161
134,134.0,6.0,0.058784444,0.070383325,0.06402133,0.028823264,0.8110469
135,135.0,6.0,0.058577575,0.070108764,0.06393793,0.028303728,0.8117507
136,136.0,6.0,0.05838757,0.06985904,0.06387719,0.027780848,0.8124283
137,137.0,6.0,0.058213178,0.06963277,0.0638376,0.027255349,0.8130808
138,138.0,6.0,0.05805344,0.06942879,0.06381799,0.02672784,0.813709
139,139.0,6.0,0.057907183,0.069245726,0.063816905,0.026199086,0.81431395
140,140.0,6.0,0.057773463,0.06908241,0.06383301,0.025669552,0.81489635
141,141.0,6.0,0.057651207,0.06893765,0.0638652,0.02513983,0.81545746
142,142.0,6.0,0.057539407,0.06881026,0.06391213,0.024610462,0.8159977
143,143.0,6.0,0.05743719,0.068699114,0.06397269,0.02408194,0.8165182
144,144.0,6.0,0.057343755,0.0686032,0.064045705,0.023554789,0.8170197
145,145.0,6.0,0.057258144,0.06852132,0.06413008,0.023029396,0.817503
146,146.0,6.0,0.05717958,0.06845257,0.064224795,0.022506181,0.81796896
147,147.0,6.0,0.057107173,0.0683958,0.06432868,0.021985548,0.81841826
148,148.0,6.0,0.057040352,0.06835025,0.06444095,0.02146786,0.81885177
149,149.0,6.0,0.056978337,0.068314806,0.0645605,0.020953447,0.81927025
150,150.0,6.0,0.056920405,0.06828856,0.06468638,0.020442663,0.81967425
151,151.0,6.0,0.05686596,0.06827078,0.06481786,0.019935735,0.8200649
152,152.0,6.0,0.0568144,0.06826052,0.064953946,0.019432973,0.82044244
153,153.0,6.0,0.056765158,0.06825691,0.06509383,0.018934641,0.8208076
154,154.0,6.0,0.056717675,0.068259224,0.06523678,0.018440932,0.82116127
155,155.0,6.0,0.05667151,0.06826676,0.06538204,0.017952105,0.82150394
156,156.0,6.0,0.05662607,0.06827867,0.06552881,0.017468315,0.82183623
157,157.0,6.0,0.056580957,0.06829427,0.06567639,0.016989758,0.8221588
158,158.0,6.0,0.056535672,0.06831295,0.06582418,0.016516635,0.82247216
159,159.0,6.0,0.0564899,0.068333864,0.06597145,0.016049087,0.8227769
