Epoch 0 	 loss_c_data: 1.8329e+01 	 loss_c_ode: 1.1751e-03
Epoch 1000 	 loss_c_data: 1.8581e-03 	 loss_c_ode: 8.5221e-06
Epoch 2000 	 loss_c_data: 1.6168e-03 	 loss_c_ode: 7.6231e-06
Epoch 3000 	 loss_c_data: 1.5057e-03 	 loss_c_ode: 5.9488e-06
Epoch 4000 	 loss_c_data: 1.4673e-03 	 loss_c_ode: 4.6997e-06
Epoch 5000 	 loss_c_data: 1.4181e-03 	 loss_c_ode: 3.8012e-06
Epoch 6000 	 loss_c_data: 1.3714e-03 	 loss_c_ode: 2.1870e-06
Epoch 7000 	 loss_c_data: 1.3602e-03 	 loss_c_ode: 1.8549e-06
Epoch 8000 	 loss_c_data: 1.3532e-03 	 loss_c_ode: 1.7036e-06
Epoch 9000 	 loss_c_data: 1.3448e-03 	 loss_c_ode: 1.6206e-06
Epoch 10000 	 loss_c_data: 1.3319e-03 	 loss_c_ode: 1.6177e-06
Epoch 11000 	 loss_c_data: 1.3232e-03 	 loss_c_ode: 1.6654e-06
Epoch 12000 	 loss_c_data: 1.3216e-03 	 loss_c_ode: 1.7037e-06
Epoch 13000 	 loss_c_data: 1.3153e-03 	 loss_c_ode: 1.7481e-06
Epoch 14000 	 loss_c_data: 1.3137e-03 	 loss_c_ode: 1.7686e-06
Epoch 15000 	 loss_c_data: 1.3128e-03 	 loss_c_ode: 1.7719e-06
Epoch 16000 	 loss_c_data: 1.3126e-03 	 loss_c_ode: 1.7596e-06
Epoch 17000 	 loss_c_data: 1.3121e-03 	 loss_c_ode: 1.7481e-06
Epoch 18000 	 loss_c_data: 1.3119e-03 	 loss_c_ode: 1.7292e-06
Epoch 19000 	 loss_c_data: 1.3121e-03 	 loss_c_ode: 1.7067e-06
Epoch 20000 	 loss_c_data: 1.3463e-03 	 loss_c_ode: 1.6611e-06
Epoch 21000 	 loss_c_data: 1.3229e-03 	 loss_c_ode: 1.7038e-06
Epoch 22000 	 loss_c_data: 1.3116e-03 	 loss_c_ode: 1.6585e-06
Epoch 23000 	 loss_c_data: 1.3115e-03 	 loss_c_ode: 1.6431e-06
Epoch 24000 	 loss_c_data: 1.3115e-03 	 loss_c_ode: 1.6272e-06
Epoch 25000 	 loss_c_data: 1.3116e-03 	 loss_c_ode: 1.6131e-06
Epoch 26000 	 loss_c_data: 1.3156e-03 	 loss_c_ode: 1.3325e-06
Epoch 27000 	 loss_c_data: 1.3160e-03 	 loss_c_ode: 1.2849e-06
Epoch 28000 	 loss_c_data: 1.3246e-03 	 loss_c_ode: 1.2430e-06
Epoch 29000 	 loss_c_data: 1.3154e-03 	 loss_c_ode: 1.2467e-06
Epoch 30000 	 loss_c_data: 1.3279e-03 	 loss_c_ode: 1.2165e-06
Epoch 31000 	 loss_c_data: 1.3232e-03 	 loss_c_ode: 1.2139e-06
Epoch 32000 	 loss_c_data: 1.3144e-03 	 loss_c_ode: 1.2140e-06
Epoch 33000 	 loss_c_data: 1.3143e-03 	 loss_c_ode: 1.2136e-06
Epoch 34000 	 loss_c_data: 1.3146e-03 	 loss_c_ode: 1.2079e-06
Epoch 35000 	 loss_c_data: 1.3135e-03 	 loss_c_ode: 1.1919e-06
Epoch 36000 	 loss_c_data: 1.3133e-03 	 loss_c_ode: 1.1859e-06
Epoch 37000 	 loss_c_data: 1.3132e-03 	 loss_c_ode: 1.1817e-06
Epoch 38000 	 loss_c_data: 1.3134e-03 	 loss_c_ode: 1.1790e-06
Epoch 39000 	 loss_c_data: 1.3208e-03 	 loss_c_ode: 1.1717e-06
Epoch 40000 	 loss_c_data: 1.3128e-03 	 loss_c_ode: 1.1660e-06
Epoch 41000 	 loss_c_data: 1.3204e-03 	 loss_c_ode: 1.1474e-06
Epoch 42000 	 loss_c_data: 1.3126e-03 	 loss_c_ode: 1.1583e-06
Epoch 43000 	 loss_c_data: 1.3127e-03 	 loss_c_ode: 1.1606e-06
Epoch 44000 	 loss_c_data: 1.3245e-03 	 loss_c_ode: 1.2041e-06
Epoch 45000 	 loss_c_data: 1.3124e-03 	 loss_c_ode: 1.1499e-06
Epoch 46000 	 loss_c_data: 1.3127e-03 	 loss_c_ode: 1.1446e-06
Epoch 47000 	 loss_c_data: 1.3123e-03 	 loss_c_ode: 1.1452e-06
Epoch 48000 	 loss_c_data: 1.3122e-03 	 loss_c_ode: 1.1439e-06
Epoch 49000 	 loss_c_data: 1.3122e-03 	 loss_c_ode: 1.1419e-06
Epoch 50000 	 loss_c_data: 1.3122e-03 	 loss_c_ode: 1.1410e-06
