,t,Q,TG,DG,MG,G,ME
0,0.0,6.0,0.6213718,0.04169477,0.0015231427,0.00014832057,2.3573637e-05
1,1.0,6.0,0.61363894,0.048899364,0.0020987298,0.00018511713,0.008399531
2,2.0,6.0,0.60553426,0.056326266,0.002806848,0.00023300946,0.017300174
3,3.0,6.0,0.59709513,0.063924775,0.0036590006,0.00029681996,0.02671045
4,4.0,6.0,0.58835953,0.07164478,0.004665939,0.00038117915,0.036613405
5,5.0,6.0,0.57936466,0.07943861,0.005837595,0.00049076416,0.046991795
6,6.0,6.0,0.57014394,0.08726174,0.007182328,0.00063059106,0.057830617
7,7.0,6.0,0.5607277,0.09507346,0.008707201,0.0008057654,0.069117695
8,8.0,6.0,0.5511421,0.1028368,0.010417847,0.0010216068,0.08084315
9,9.0,6.0,0.54140973,0.11051817,0.012318587,0.0012841988,0.09300055
10,10.0,6.0,0.5315509,0.118086696,0.014412126,0.0015997291,0.10558485
11,11.0,6.0,0.52158326,0.12551385,0.016699834,0.0019750707,0.118592426
12,12.0,6.0,0.51152414,0.13277306,0.019181868,0.0024175346,0.13202056
13,13.0,6.0,0.5013896,0.1398393,0.021856746,0.0029347502,0.1458659
14,14.0,6.0,0.4911959,0.14668913,0.024721628,0.003534956,0.1601252
15,15.0,6.0,0.48095948,0.15330055,0.027772097,0.0042267386,0.17479439
16,16.0,6.0,0.47069672,0.1596532,0.031002207,0.005018985,0.18986863
17,17.0,6.0,0.4604247,0.16572846,0.03440448,0.0059207603,0.20534176
18,18.0,6.0,0.4501602,0.17150937,0.03796968,0.006941363,0.22120655
19,19.0,6.0,0.43992034,0.17698103,0.041687056,0.008090157,0.23745441
20,20.0,6.0,0.4297218,0.18213035,0.04554417,0.009376511,0.2540756
21,21.0,6.0,0.41958156,0.18694626,0.049527027,0.010809926,0.27105874
22,22.0,6.0,0.4095157,0.19141974,0.05362036,0.012399429,0.288391
23,23.0,6.0,0.39954028,0.19554354,0.057807364,0.0141540505,0.30605817
24,24.0,6.0,0.38967043,0.19931255,0.062070288,0.016082577,0.32404482
25,25.0,6.0,0.37992075,0.20272352,0.0663904,0.01819312,0.34233415
26,26.0,6.0,0.3703048,0.20577534,0.07074831,0.020493377,0.3609082
27,27.0,6.0,0.36083528,0.2084686,0.07512416,0.022990335,0.37974814
28,28.0,6.0,0.35152367,0.21080628,0.07949795,0.025690231,0.39883444
29,29.0,6.0,0.3423803,0.21279317,0.083849706,0.028598398,0.41814694
30,30.0,6.0,0.33341423,0.21443607,0.088159606,0.031718988,0.43766472
31,31.0,6.0,0.32463312,0.21574368,0.09240818,0.03505538,0.4573669
32,32.0,6.0,0.3160436,0.21672656,0.09657645,0.03860993,0.47723243
33,33.0,6.0,0.30765072,0.21739678,0.100645915,0.042383768,0.4972396
34,34.0,6.0,0.29945868,0.21776806,0.104598746,0.046377055,0.517367
35,35.0,6.0,0.2914705,0.21785511,0.10841782,0.050589077,0.537593
36,36.0,6.0,0.28368834,0.21767373,0.11208668,0.055017978,0.5578953
37,37.0,6.0,0.27611333,0.21724023,0.115589924,0.0596613,0.5782528
38,38.0,6.0,0.2687463,0.21657166,0.118912846,0.06451546,0.59864295
