Epoch 0 	 loss_c_data: 1.8186e+01 	 loss_c_ode: 1.1751e-03
Epoch 1000 	 loss_c_data: 1.3339e-03 	 loss_c_ode: 9.2014e-06
Epoch 2000 	 loss_c_data: 1.0006e-03 	 loss_c_ode: 7.7970e-06
Epoch 3000 	 loss_c_data: 9.0625e-04 	 loss_c_ode: 5.6376e-06
Epoch 4000 	 loss_c_data: 8.5848e-04 	 loss_c_ode: 4.5044e-06
Epoch 5000 	 loss_c_data: 8.5314e-04 	 loss_c_ode: 3.7609e-06
Epoch 6000 	 loss_c_data: 8.5045e-04 	 loss_c_ode: 1.8019e-06
Epoch 7000 	 loss_c_data: 8.5046e-04 	 loss_c_ode: 1.5042e-06
Epoch 8000 	 loss_c_data: 8.5002e-04 	 loss_c_ode: 1.4246e-06
Epoch 9000 	 loss_c_data: 8.5044e-04 	 loss_c_ode: 1.3842e-06
Epoch 10000 	 loss_c_data: 8.4987e-04 	 loss_c_ode: 1.3601e-06
Epoch 11000 	 loss_c_data: 8.4982e-04 	 loss_c_ode: 1.3391e-06
Epoch 12000 	 loss_c_data: 8.4982e-04 	 loss_c_ode: 1.3226e-06
Epoch 13000 	 loss_c_data: 8.5015e-04 	 loss_c_ode: 1.3051e-06
Epoch 14000 	 loss_c_data: 8.4974e-04 	 loss_c_ode: 1.2932e-06
Epoch 15000 	 loss_c_data: 8.5062e-04 	 loss_c_ode: 1.2924e-06
Epoch 16000 	 loss_c_data: 8.4971e-04 	 loss_c_ode: 1.2757e-06
Epoch 17000 	 loss_c_data: 8.4972e-04 	 loss_c_ode: 1.2699e-06
Epoch 18000 	 loss_c_data: 8.4985e-04 	 loss_c_ode: 1.2661e-06
Epoch 19000 	 loss_c_data: 8.4992e-04 	 loss_c_ode: 1.2559e-06
Epoch 20000 	 loss_c_data: 8.4970e-04 	 loss_c_ode: 1.2552e-06
Epoch 21000 	 loss_c_data: 8.5042e-04 	 loss_c_ode: 1.2453e-06
Epoch 22000 	 loss_c_data: 8.5004e-04 	 loss_c_ode: 1.2495e-06
Epoch 23000 	 loss_c_data: 8.4969e-04 	 loss_c_ode: 1.2446e-06
Epoch 24000 	 loss_c_data: 8.5019e-04 	 loss_c_ode: 1.2418e-06
Epoch 25000 	 loss_c_data: 8.4971e-04 	 loss_c_ode: 1.2391e-06
Epoch 26000 	 loss_c_data: 8.5064e-04 	 loss_c_ode: 1.1909e-06
Epoch 27000 	 loss_c_data: 8.5065e-04 	 loss_c_ode: 1.1806e-06
Epoch 28000 	 loss_c_data: 8.5084e-04 	 loss_c_ode: 1.1837e-06
Epoch 29000 	 loss_c_data: 8.5066e-04 	 loss_c_ode: 1.1651e-06
Epoch 30000 	 loss_c_data: 8.5105e-04 	 loss_c_ode: 1.1572e-06
