Epoch 0 	 loss_c_data: 2.0896e+01 	 loss_c_ode: 1.1317e-03
Epoch 1000 	 loss_c_data: 1.8461e-03 	 loss_c_ode: 4.2936e-05
Epoch 2000 	 loss_c_data: 1.4815e-03 	 loss_c_ode: 1.5978e-05
Epoch 3000 	 loss_c_data: 1.1691e-03 	 loss_c_ode: 1.0638e-05
Epoch 4000 	 loss_c_data: 1.0393e-03 	 loss_c_ode: 6.4610e-06
Epoch 5000 	 loss_c_data: 9.9180e-04 	 loss_c_ode: 3.5362e-06
Epoch 6000 	 loss_c_data: 9.7172e-04 	 loss_c_ode: 2.0388e-06
Epoch 7000 	 loss_c_data: 9.6013e-04 	 loss_c_ode: 1.5460e-06
Epoch 8000 	 loss_c_data: 9.5650e-04 	 loss_c_ode: 1.2404e-06
Epoch 9000 	 loss_c_data: 9.5461e-04 	 loss_c_ode: 1.0252e-06
Epoch 10000 	 loss_c_data: 9.5377e-04 	 loss_c_ode: 8.5236e-07
Epoch 11000 	 loss_c_data: 9.5349e-04 	 loss_c_ode: 7.2134e-07
Epoch 12000 	 loss_c_data: 9.5334e-04 	 loss_c_ode: 6.3934e-07
Epoch 13000 	 loss_c_data: 9.5326e-04 	 loss_c_ode: 5.8820e-07
Epoch 14000 	 loss_c_data: 9.5530e-04 	 loss_c_ode: 5.5370e-07
Epoch 15000 	 loss_c_data: 9.5317e-04 	 loss_c_ode: 5.2983e-07
Epoch 16000 	 loss_c_data: 9.5356e-04 	 loss_c_ode: 5.1411e-07
Epoch 17000 	 loss_c_data: 9.5331e-04 	 loss_c_ode: 4.9712e-07
Epoch 18000 	 loss_c_data: 9.5334e-04 	 loss_c_ode: 4.8515e-07
Epoch 19000 	 loss_c_data: 9.5409e-04 	 loss_c_ode: 4.7520e-07
Epoch 20000 	 loss_c_data: 9.5670e-04 	 loss_c_ode: 4.6916e-07
