,Time,Power,Temperature
0,0,4,33.549873
1,1,4,33.606754
2,2,4,33.664345
3,3,4,33.72176
4,4,4,33.77848
5,5,4,33.834305
6,6,4,33.889256
7,7,4,33.94346
8,8,4,33.997093
9,9,4,34.05032
10,10,4,34.10327
11,11,4,34.156033
12,12,4,34.208633
13,13,4,34.26108
14,14,4,34.31335
15,15,4,34.365402
16,16,4,34.417202
17,17,4,34.468708
18,18,4,34.519905
19,19,4,34.570786
20,20,4,34.621357
21,21,4,34.671646
22,22,4,34.721695
23,23,4,34.771564
24,24,4,34.821316
25,25,4,34.871025
26,26,4,34.92077
27,27,4,34.97063
28,28,4,35.020683
29,29,4,35.071003
30,30,4,35.121666
31,31,4,35.172733
32,32,4,35.224274
33,33,4,35.27633
34,34,4,35.32895
35,35,4,35.38217
36,36,4,35.436024
37,37,4,35.49053
38,38,4,35.545696
39,39,4,35.60154
40,40,4,35.65806
41,41,4,35.71525
42,42,4,35.773094
43,43,4,35.831593
44,44,4,35.890717
45,45,4,35.950447
46,46,4,36.010757
47,47,4,36.07162
48,48,4,36.133007
49,49,4,36.194893
50,50,4,36.25723
51,51,4,36.319996
52,52,4,36.383156
53,53,4,36.44667
54,54,4,36.510513
55,55,4,36.574646
56,56,4,36.639034
57,57,4,36.703648
58,58,4,36.768456
59,59,4,36.833427
60,60,4,36.898533
61,61,4,36.96374
62,62,4,37.02903
63,63,4,37.094368
64,64,4,37.159744
65,65,4,37.225117
66,66,4,37.290478
67,67,4,37.355804
68,68,4,37.421078
69,69,4,37.486275
70,70,4,37.55139
71,71,4,37.616398
72,72,4,37.681293
73,73,4,37.746067
74,74,4,37.81069
75,75,4,37.875175
76,76,4,37.939503
77,77,4,38.003662
78,78,4,38.06765
79,79,4,38.131454
80,80,4,38.195084
81,81,4,38.25852
82,82,4,38.32177
83,83,4,38.38482
84,84,4,38.44767
85,85,4,38.510326
86,86,4,38.57278
87,87,4,38.635036
88,88,4,38.69709
89,89,4,38.758934
90,90,4,38.820587
91,91,4,38.88203
92,92,4,38.943283
93,93,4,39.004333
94,94,4,39.065186
95,95,4,39.125847
96,96,4,39.18631
97,97,4,39.246582
98,98,4,39.306675
99,99,4,39.36657
100,100,4,39.42629
101,101,4,39.485825
102,102,4,39.54518
103,103,4,39.604362
104,104,4,39.663372
105,105,4,39.722214
106,106,4,39.78089
107,107,4,39.839405
108,108,4,39.89776
109,109,4,39.95596
110,110,4,40.014004
111,111,4,40.071907
112,112,4,40.12966
113,113,4,40.187275
114,114,4,40.24475
115,115,4,40.302097
116,116,4,40.359314
117,117,4,40.41641
118,118,4,40.47338
119,119,4,40.530243
120,120,4,40.58699
121,121,4,40.64364
122,122,4,40.700188
123,123,4,40.756638
124,124,4,40.812996
125,125,4,40.86927
126,126,4,40.925476
127,127,4,40.981606
128,128,4,41.037666
129,129,4,41.093666
130,130,4,41.149616
131,131,4,41.20552
132,132,4,41.26138
133,133,4,41.31721
134,134,4,41.373013
135,135,4,41.4288
136,136,4,41.484573
137,137,4,41.540337
138,138,4,41.596115
139,139,4,41.651894
140,140,4,41.707703
141,141,4,41.76353
142,142,4,41.819393
143,143,4,41.8753
144,144,4,41.931255
145,145,4,41.98727
146,146,4,42.04335
147,147,4,42.0995
148,148,4,42.15573
149,149,4,42.21205
150,150,4,42.268463
151,151,4,42.324974
152,152,4,42.38159
153,153,4,42.43832
154,154,4,42.49517
155,155,4,42.55214
156,156,4,42.609238
157,157,4,42.66647
158,158,4,42.723827
159,159,4,42.78133
160,160,4,42.83897
161,161,4,42.896744
162,162,4,42.954674
163,163,4,43.012733
164,164,4,43.07094
165,165,4,43.12928
166,166,4,43.18776
167,167,4,43.246372
168,168,4,43.305115
169,169,4,43.363983
170,170,4,43.422966
171,171,4,43.482063
172,172,4,43.541264
173,173,4,43.600555
174,174,4,43.659943
175,175,4,43.719406
176,176,4,43.77894
177,177,4,43.838524
178,178,4,43.898144
179,179,4,43.9578
180,180,4,44.017475
181,181,4,44.077156
182,182,4,44.13682
183,183,4,44.196465
184,184,4,44.256065
185,185,4,44.315613
186,186,4,44.37509
187,187,4,44.43448
188,188,4,44.49377
189,189,4,44.55294
190,190,4,44.61198
191,191,4,44.67087
192,192,4,44.7296
193,193,4,44.788155
194,194,4,44.84651
195,195,4,44.904667
196,196,4,44.962605
197,197,4,45.02031
198,198,4,45.077774
199,199,4,45.134987
200,200,4,45.191933
201,201,4,45.248604
202,202,4,45.304993
203,203,4,45.36109
204,204,4,45.416885
205,205,4,45.47238
206,206,4,45.527565
207,207,4,45.582436
208,208,4,45.636986
209,209,4,45.69122
210,210,4,45.74513
211,211,4,45.79871
212,212,4,45.851974
213,213,4,45.904907
214,214,4,45.957527
215,215,4,46.009823
216,216,4,46.06181
217,217,4,46.113483
218,218,4,46.16485
219,219,4,46.21591
220,220,4,46.266678
221,221,4,46.317154
222,222,4,46.367355
223,223,4,46.417274
224,224,4,46.466927
225,225,4,46.51631
226,226,4,46.565456
227,227,4,46.614353
228,228,4,46.66301
229,229,4,46.711452
230,230,4,46.759666
231,231,4,46.80768
232,232,4,46.855488
233,233,4,46.903122
234,234,4,46.950554
235,235,4,46.99783
236,236,4,47.044937
237,237,4,47.09189
238,238,4,47.138695
239,239,4,47.185364
240,240,4,47.231903
241,241,4,47.27832
242,242,4,47.324615
243,243,4,47.37081
244,244,4,47.4169
245,245,4,47.4629
246,246,4,47.508804
247,247,4,47.554626
248,248,4,47.60038
249,249,4,47.64605
250,250,4,47.69165
251,251,4,47.73719
252,252,4,47.78267
253,253,4,47.8281
254,254,4,47.873463
255,255,4,47.918785
256,256,4,47.96405
257,257,4,48.009277
258,258,4,48.05445
259,259,4,48.09959
260,260,4,48.144684
261,261,4,48.189735
262,262,4,48.234745
263,263,4,48.27971
264,264,4,48.324642
