Anton Paar Monowave Series
Serial Number: 82701239
Instrument Software Version: 4.10.10607.14

Processing Protocol;
Experiment Name;lowT-mass-5W
Experiment Date;2/7/2023 4:48:57 PM
Experiment Unique ID;1149
User;Administrator
Vial Type;Glass vial G30
;
Steps;
Step;Program;Temperature;Time;Power;Cooling;Stirrer Speed
;;C;hh:mm:ss;W;;rpm
1;Constant power;70;00:20:00;5;Off;800
2;Hold;-;00:00:00;850;Off;600
3;Cool down;70;-;-;On;600
;
Experiment Result;
Result;OK
;
;
Time;Step Time;Temp IR;Temp Ruby;Pressure;Power;Stirrer Speed;Fan Level;Step No.
hh:mm:ss;hh:mm:ss;C;C;bar;W;rpm;;
00:00:00;00:00:00;38;39;0.0;5;800;Off;1
00:00:01;00:00:01;38;39;0.0;5;800;Off;1
00:00:02;00:00:02;38;39;0.0;5;800;Off;1
00:00:03;00:00:03;38;39;0.0;5;800;Off;1
00:00:04;00:00:04;38;39;0.0;5;800;Off;1
00:00:05;00:00:05;38;39;0.0;5;800;Off;1
00:00:06;00:00:06;38;39;0.0;5;800;Off;1
00:00:07;00:00:07;38;39;0.0;5;800;Off;1
00:00:08;00:00:08;38;39;0.0;5;800;Off;1
00:00:09;00:00:09;38;39;0.0;5;800;Off;1
00:00:10;00:00:10;37;39;0.0;5;800;Off;1
00:00:11;00:00:11;38;39;0.0;5;800;Off;1
00:00:12;00:00:12;38;39;0.0;5;800;Off;1
00:00:13;00:00:13;38;39;0.0;5;800;Off;1
00:00:14;00:00:14;38;39;0.0;5;800;Off;1
00:00:15;00:00:15;38;39;0.0;5;800;Off;1
00:00:16;00:00:16;38;39;0.0;5;800;Off;1
00:00:17;00:00:17;38;39;0.0;5;800;Off;1
00:00:18;00:00:18;37;39;0.0;5;800;Off;1
00:00:19;00:00:19;38;39;0.0;5;800;Off;1
00:00:20;00:00:20;38;39;0.0;5;800;Off;1
00:00:21;00:00:21;38;39;0.0;5;800;Off;1
00:00:22;00:00:22;38;39;0.0;5;800;Off;1
00:00:23;00:00:23;38;39;0.0;5;800;Off;1
00:00:24;00:00:24;38;39;0.0;5;800;Off;1
00:00:25;00:00:25;38;39;0.0;5;800;Off;1
00:00:26;00:00:26;38;39;0.0;5;800;Off;1
00:00:27;00:00:27;38;39;0.0;5;800;Off;1
00:00:28;00:00:28;38;39;0.0;5;800;Off;1
00:00:29;00:00:29;38;39;0.0;5;800;Off;1
00:00:30;00:00:30;38;39;0.0;5;800;Off;1
00:00:31;00:00:31;38;39;0.0;5;800;Off;1
00:00:32;00:00:32;38;39;0.0;5;800;Off;1
00:00:33;00:00:33;38;39;0.0;5;800;Off;1
00:00:34;00:00:34;38;39;0.0;5;800;Off;1
00:00:35;00:00:35;38;39;0.0;5;800;Off;1
00:00:36;00:00:36;38;39;0.0;5;800;Off;1
00:00:37;00:00:37;38;39;0.0;5;800;Off;1
00:00:38;00:00:38;38;39;0.0;5;800;Off;1
00:00:39;00:00:39;39;39;0.0;5;800;Off;1
00:00:40;00:00:40;38;39;0.0;5;800;Off;1
