Anton Paar Monowave Series
Serial Number: 82701239
Instrument Software Version: 4.10.10607.14

Processing Protocol;
Experiment Name;vb-5W-norx
Experiment Date;3/16/2023 11:11:24 AM
Experiment Unique ID;1172
User;Administrator
Vial Type;Glass vial G30
;
Steps;
Step;Program;Temperature;Time;Power;Cooling;Stirrer Speed
;;C;hh:mm:ss;W;;rpm
1;Constant power;65;00:08:00;5;Off;600
2;Hold;-;00:00:00;850;Off;600
3;Cool down;65;-;-;On;600
;
Experiment Result;
Result;OK
;
;
Time;Step Time;Temp IR;Temp Ruby;Pressure;Power;Stirrer Speed;Fan Level;Step No.
hh:mm:ss;hh:mm:ss;C;C;bar;W;rpm;;
00:00:00;00:00:00;32;42;0.0;0;600;Off;1
00:00:01;00:00:01;32;42;0.0;5;600;Off;1
00:00:02;00:00:02;32;42;0.0;5;600;Off;1
00:00:03;00:00:03;33;42;0.0;5;600;Off;1
00:00:04;00:00:04;33;42;0.0;5;600;Off;1
00:00:05;00:00:05;32;42;0.0;5;600;Off;1
00:00:06;00:00:06;33;42;0.0;5;600;Off;1
00:00:07;00:00:07;33;42;0.0;5;600;Off;1
00:00:08;00:00:08;33;42;0.0;5;600;Off;1
00:00:09;00:00:09;33;42;0.0;5;600;Off;1
00:00:10;00:00:10;33;42;0.0;5;600;Off;1
00:00:11;00:00:11;33;42;0.0;5;600;Off;1
00:00:12;00:00:12;33;42;0.0;5;600;Off;1
00:00:13;00:00:13;33;42;0.0;5;600;Off;1
00:00:14;00:00:14;33;42;0.0;5;600;Off;1
00:00:15;00:00:15;33;42;0.0;5;600;Off;1
00:00:16;00:00:16;33;42;0.0;5;600;Off;1
00:00:17;00:00:17;33;42;0.0;5;600;Off;1
00:00:18;00:00:18;33;42;0.0;5;600;Off;1
00:00:19;00:00:19;33;42;0.0;5;600;Off;1
00:00:20;00:00:20;33;42;0.0;5;600;Off;1
00:00:21;00:00:21;33;42;0.0;5;600;Off;1
00:00:22;00:00:22;33;42;0.0;5;600;Off;1
00:00:23;00:00:23;34;42;0.0;5;600;Off;1
00:00:24;00:00:24;33;42;0.0;5;600;Off;1
00:00:25;00:00:25;34;42;0.0;5;600;Off;1
00:00:26;00:00:26;34;42;0.0;5;600;Off;1
00:00:27;00:00:27;34;42;0.0;5;600;Off;1
00:00:28;00:00:28;33;42;0.0;5;600;Off;1
00:00:29;00:00:29;34;42;0.0;5;600;Off;1
00:00:30;00:00:30;34;42;0.0;5;600;Off;1
00:00:31;00:00:31;33;42;0.0;5;600;Off;1
00:00:32;00:00:32;34;42;0.0;5;600;Off;1
00:00:33;00:00:33;34;42;0.0;5;600;Off;1
00:00:34;00:00:34;34;42;0.0;5;600;Off;1
00:00:35;00:00:35;34;42;0.0;5;600;Off;1
00:00:36;00:00:36;34;42;0.0;5;600;Off;1
00:00:37;00:00:37;35;42;0.0;5;600;Off;1
00:00:38;00:00:38;34;42;0.0;5;600;Off;1
00:00:39;00:00:39;34;42;0.0;5;600;Off;1
00:00:40;00:00:40;34;42;0.0;5;600;Off;1
00:00:41;00:00:41;35;42;0.0;5;600;Off;1
00:00:42;00:00:42;34;42;0.0;5;600;Off;1
00:00:43;00:00:43;34;42;0.0;5;600;Off;1
00:00:44;00:00:44;34;42;0.0;5;600;Off;1
00:00:45;00:00:45;34;42;0.0;5;600;Off;1
00:00:46;00:00:46;35;42;0.0;5;600;Off;1
00:00:47;00:00:47;35;42;0.0;5;600;Off;1
00:00:48;00:00:48;35;42;0.0;5;600;Off;1
00:00:49;00:00:49;35;42;0.0;5;600;Off;1
00:00:50;00:00:50;35;42;0.0;5;600;Off;1
00:00:51;00:00:51;35;42;0.0;5;600;Off;1
00:00:52;00:00:52;35;42;0.0;5;600;Off;1
00:00:53;00:00:53;35;42;0.0;5;600;Off;1
00:00:54;00:00:54;35;42;0.0;5;600;Off;1
00:00:55;00:00:55;35;42;0.0;5;600;Off;1
00:00:56;00:00:56;35;42;0.0;5;600;Off;1
00:00:57;00:00:57;35;42;0.0;5;600;Off;1
00:00:58;00:00:58;35;42;0.0;5;600;Off;1
00:00:59;00:00:59;35;42;0.0;5;600;Off;1
00:01:00;00:01:00;35;42;0.0;5;600;Off;1
00:01:01;00:01:01;35;42;0.0;5;600;Off;1
00:01:02;00:01:02;36;42;0.0;5;600;Off;1
